Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Full Bath,TotRms AbvGrd,Neighborhood,SalePrice,Age of House
8,2225,3.0,713.0,1390.0,1402,1992,1993,2,7,NoRidge,285000,31
7,1488,2.0,506.0,1488.0,1488,2004,2005,2,6,Somerst,260000,19
7,1680,2.0,588.0,840.0,840,2004,2004,2,3,Somerst,190000,20
7,1200,2.0,480.0,600.0,600,2004,2004,2,4,Somerst,155000,20
7,1200,2.0,480.0,600.0,600,2004,2005,2,4,Somerst,151000,19
7,1200,2.0,480.0,600.0,600,2004,2005,2,4,Somerst,149500,19
6,1236,2.0,480.0,600.0,600,2005,2005,2,4,Somerst,152000,19
7,1478,2.0,484.0,1470.0,1478,2009,2009,2,7,Somerst,222000,15
6,1573,2.0,440.0,756.0,769,2000,2000,2,5,Somerst,177500,24
6,1512,2.0,440.0,756.0,756,2000,2000,2,5,Somerst,177000,24
7,1416,2.0,484.0,696.0,696,1999,1999,2,6,Somerst,155000,25
7,1080,2.0,496.0,530.0,530,2003,2003,2,4,Somerst,147110,21
8,1418,3.0,852.0,1642.0,1418,2010,2010,1,6,Somerst,267916,14
8,1848,2.0,592.0,975.0,975,2000,2000,2,7,Somerst,254000,24
8,788,2.0,484.0,728.0,788,1980,1980,1,3,Greens,155000,44
8,1226,2.0,484.0,1226.0,1226,1978,1978,1,4,Greens,206000,46
6,1479,2.0,475.0,725.0,725,1976,2005,2,6,Sawyer,130500,19
7,1492,2.0,596.0,1492.0,1492,2002,2002,2,6,Somerst,230000,22
6,1829,2.0,535.0,1829.0,1829,1967,1967,2,8,NWAmes,218500,57
6,2495,2.0,660.0,1280.0,1280,1993,1993,2,9,NWAmes,243500,31
6,1610,2.0,480.0,1610.0,1610,1977,2001,2,6,NWAmes,205000,23
6,1891,2.0,678.0,1224.0,1287,1978,1978,3,7,NWAmes,212500,46
7,1714,2.0,496.0,980.0,980,1988,1988,2,7,NWAmes,196500,36
6,1381,2.0,676.0,1161.0,1381,1972,2006,1,5,NWAmes,197500,18
6,1645,2.0,441.0,715.0,930,1971,1971,1,7,NWAmes,171000,53
5,1232,2.0,490.0,1232.0,1232,1966,1966,1,6,NAmes,142250,58
6,1328,2.0,528.0,1328.0,1328,1963,1963,1,6,NWAmes,143000,61
4,1225,0.0,0.0,950.0,1225,1959,1959,1,6,NAmes,128950,65
5,1209,2.0,504.0,1209.0,1209,1966,1966,1,6,NAmes,159000,58
5,1510,2.0,517.0,1510.0,1510,1967,1967,2,6,NAmes,178900,57
6,1775,2.0,480.0,533.0,1131,1964,1964,2,8,NAmes,136300,60
5,1152,2.0,484.0,1152.0,1152,1964,1964,1,6,NAmes,180500,60
6,1054,2.0,480.0,936.0,1054,1963,1963,1,6,NAmes,137500,61
5,1728,0.0,0.0,1728.0,1728,1962,2001,2,10,NAmes,84900,23
5,1078,1.0,240.0,1078.0,1078,1950,1996,1,5,NAmes,142125,28
5,2461,2.0,400.0,1140.0,1929,1952,2002,2,7,NAmes,197600,22
6,1556,2.0,470.0,782.0,1019,1949,1950,2,6,NAmes,172500,74
5,858,0.0,0.0,858.0,858,1958,2008,1,4,BrkSide,116500,16
3,1306,0.0,0.0,728.0,1306,1940,1966,1,6,BrkSide,76500,58
5,1063,1.0,280.0,1056.0,1063,1954,1954,1,6,NAmes,128000,70
6,1520,1.0,364.0,1156.0,1520,1955,1972,1,7,NAmes,153000,52
5,1268,1.0,244.0,1268.0,1268,1954,1954,1,7,NAmes,132000,70
6,1128,1.0,315.0,1080.0,1128,1966,2008,1,5,NAmes,178000,16
5,2274,2.0,480.0,1105.0,1105,1960,1960,2,12,NAmes,154300,64
7,2207,2.0,576.0,1947.0,2207,1970,1989,2,7,NAmes,180000,35
6,1888,2.0,578.0,1517.0,1888,1966,2002,2,6,NAmes,190000,22
5,1604,2.0,576.0,1604.0,1604,1958,1958,2,8,NAmes,135000,66
7,1480,2.0,620.0,1480.0,1480,2003,2009,2,7,NAmes,214000,15
5,1143,1.0,308.0,1143.0,1143,1959,1959,1,6,NAmes,136000,65
5,1700,2.0,447.0,1398.0,1700,1959,1959,1,6,NAmes,165500,65
5,1314,1.0,294.0,1314.0,1314,1957,1957,1,5,NAmes,145000,67
6,1194,1.0,312.0,1194.0,1194,1959,1959,1,6,NAmes,148000,65
5,1188,2.0,531.0,1188.0,1188,1959,1959,1,6,NAmes,142000,65
5,1264,2.0,461.0,1268.0,1264,1960,1960,1,6,NAmes,167500,64
5,1206,1.0,312.0,1206.0,1206,1959,1959,1,6,NAmes,108538,65
6,1580,2.0,440.0,1244.0,1580,1959,1959,1,6,NAmes,159500,65
4,1337,1.0,263.0,832.0,832,1956,1956,1,5,NAmes,108000,68
5,1064,1.0,318.0,864.0,1064,1952,1952,1,4,NAmes,135000,72
5,972,1.0,305.0,972.0,972,1955,1955,1,5,NAmes,122500,69
5,988,1.0,264.0,988.0,988,1958,1958,1,5,NAmes,119000,66
5,1057,1.0,246.0,1057.0,1057,1953,2007,1,5,NAmes,109000,17
4,985,2.0,676.0,576.0,985,1920,1994,1,4,NAmes,105000,30
5,827,1.0,392.0,0.0,827,1955,2007,1,5,NAmes,107500,17
5,1086,2.0,490.0,1086.0,1086,1954,2003,1,6,NAmes,144900,21
5,936,1.0,308.0,936.0,936,1956,2000,1,4,NAmes,129000,24
6,1458,1.0,330.0,912.0,912,1948,1950,1,6,NAmes,97500,74
6,1056,2.0,576.0,1056.0,1056,1980,1980,0,4,OldTown,144000,44
5,1287,2.0,576.0,1063.0,1287,1959,2006,1,7,NAmes,162000,18
7,2978,2.0,564.0,710.0,1898,1967,2007,2,11,NAmes,242000,17
6,1224,1.0,280.0,816.0,816,1948,2004,1,5,NAmes,132000,20
5,1246,1.0,305.0,1246.0,1246,1959,1994,1,6,NAmes,154000,30
5,1385,2.0,720.0,910.0,910,1952,1952,2,6,NAmes,166000,72
5,900,2.0,576.0,900.0,900,1951,2000,1,5,NAmes,134800,24
6,1116,2.0,440.0,1116.0,1116,1962,1962,1,5,NAmes,160000,62
5,1175,2.0,484.0,1175.0,1175,1960,1960,1,6,NAmes,148000,64
6,1395,2.0,440.0,1395.0,1395,1963,1984,1,7,NAmes,192000,40
6,1839,2.0,442.0,756.0,1051,1966,1966,1,7,NAmes,155000,58
4,1844,1.0,240.0,709.0,1157,1900,1954,1,9,OldTown,80400,70
4,1140,0.0,0.0,576.0,792,1910,2004,1,7,OldTown,96500,20
5,936,0.0,0.0,936.0,936,1920,1950,1,5,OldTown,109500,74
5,1028,2.0,360.0,1008.0,1028,1927,1950,1,5,OldTown,115000,74
5,1347,2.0,551.0,1347.0,1347,1957,1957,1,6,OldTown,143000,67
3,1605,1.0,379.0,840.0,840,1915,1950,2,8,OldTown,107400,74
4,747,1.0,220.0,747.0,747,1945,1950,1,4,OldTown,80000,74
5,804,1.0,240.0,788.0,804,1940,1992,1,4,OldTown,119000,32
5,1316,2.0,484.0,926.0,926,1929,2001,1,6,OldTown,130000,23
6,1251,1.0,240.0,827.0,827,1938,2000,1,6,OldTown,119000,24
5,1633,1.0,240.0,1027.0,1027,1948,2009,1,7,OldTown,129000,15
5,1245,1.0,315.0,1008.0,1060,1920,1962,1,6,OldTown,100000,62
2,832,2.0,780.0,678.0,832,1923,1970,1,5,OldTown,12789,54
6,720,2.0,484.0,624.0,720,1928,2003,1,5,OldTown,105900,21
8,1566,1.0,288.0,930.0,930,1900,2003,2,7,OldTown,150000,21
5,1652,1.0,416.0,686.0,966,1915,1950,2,7,OldTown,139000,74
8,2268,2.0,624.0,346.0,1157,1890,2002,3,7,OldTown,240000,22
5,2256,0.0,0.0,840.0,1128,1910,1950,2,12,OldTown,76500,74
6,1236,2.0,923.0,912.0,1236,1957,1996,1,6,OldTown,149700,28
4,1363,2.0,528.0,622.0,741,1910,1950,1,6,OldTown,125500,74
4,2290,2.0,560.0,777.0,1246,1885,1950,2,11,OldTown,122500,74
6,1470,2.0,624.0,738.0,868,1922,1994,1,6,OldTown,140750,30
5,1612,1.0,363.0,988.0,1030,1950,1997,1,7,BrkSide,128500,27
7,2068,1.0,315.0,1108.0,1160,1922,2005,1,8,BrkSide,209500,19
4,765,1.0,200.0,765.0,765,1925,1950,1,4,BrkSide,87000,74
6,1132,1.0,240.0,608.0,608,1939,1950,1,5,BrkSide,134000,74
6,1196,2.0,576.0,572.0,848,1940,1950,1,6,BrkSide,128000,74
5,1453,1.0,240.0,835.0,955,1942,1950,1,7,BrkSide,132000,74
6,1416,1.0,312.0,780.0,780,1948,1950,1,6,BrkSide,139900,74
5,1040,2.0,624.0,528.0,548,1936,1980,1,5,BrkSide,123900,44
5,1536,2.0,480.0,928.0,928,1930,1950,2,7,BrkSide,138400,74
6,1068,1.0,288.0,1124.0,1068,1923,1950,1,5,OldTown,109500,74
7,1710,2.0,480.0,576.0,902,1921,1950,2,9,OldTown,140000,74
4,1962,2.0,572.0,888.0,888,1915,1950,1,9,OldTown,149500,74
6,1560,0.0,0.0,780.0,780,1912,2009,1,7,OldTown,159900,15
6,1324,1.0,180.0,662.0,662,1920,1993,1,6,OldTown,122000,31
5,816,2.0,516.0,816.0,816,1963,1963,1,5,IDOTRR,110000,61
4,1092,0.0,0.0,0.0,372,1930,1950,2,7,IDOTRR,55000,74
5,1812,2.0,672.0,360.0,1032,1900,1996,2,8,OldTown,140000,28
7,2403,1.0,349.0,1032.0,1207,1940,1950,2,10,ClearCr,244400,74
5,1675,1.0,365.0,1422.0,1675,1959,1959,2,8,ClearCr,173000,65
5,1224,1.0,180.0,689.0,725,1917,1950,1,6,ClearCr,107500,74
5,1392,0.0,0.0,1212.0,1212,1915,1950,1,6,SWISU,100000,74
6,919,1.0,231.0,600.0,600,1940,1950,1,5,SWISU,95000,74
4,1884,0.0,0.0,707.0,942,1907,1950,1,7,SWISU,93369,74
5,1680,2.0,450.0,856.0,936,1910,1950,2,7,SWISU,114900,74
5,1020,0.0,0.0,780.0,780,1875,1996,1,6,Sawyer,94000,28
4,1832,0.0,0.0,1832.0,1832,1967,1967,2,8,Sawyer,136000,57
4,1768,0.0,0.0,1768.0,1768,1968,1968,2,8,Sawyer,136500,56
5,1039,2.0,504.0,1039.0,1039,1965,1965,1,6,Sawyer,131500,59
5,1392,2.0,528.0,1392.0,1392,1957,1996,1,5,Sawyer,121500,28
5,912,1.0,336.0,912.0,912,1967,1967,1,5,Sawyer,125000,57
5,1060,1.0,270.0,1060.0,1060,1968,2001,1,6,Sawyer,154000,23
5,892,1.0,416.0,864.0,892,1966,2008,1,5,Sawyer,137900,16
6,1352,1.0,299.0,663.0,663,1969,1969,1,7,Sawyer,158000,55
5,864,1.0,280.0,864.0,864,1968,1968,1,4,Sawyer,137250,56
5,1373,2.0,591.0,1319.0,1373,1978,1978,1,5,Sawyer,160250,46
5,1440,2.0,480.0,720.0,720,1968,1968,1,7,Sawyer,163000,56
6,1386,2.0,440.0,672.0,672,1978,1978,2,6,Sawyer,158900,46
7,2260,2.0,533.0,1306.0,1306,1996,1997,2,7,ClearCr,328000,27
7,1483,2.0,690.0,1420.0,1483,1977,2001,1,4,ClearCr,270000,23
4,756,2.0,440.0,660.0,756,1927,1950,1,4,Sawyer,85000,74
4,1067,2.0,436.0,1067.0,1067,1950,1995,2,4,Sawyer,128000,29
7,1524,2.0,586.0,1332.0,1332,1979,1979,0,4,ClearCr,260000,45
6,1981,2.0,522.0,1117.0,1117,1978,1992,2,8,ClearCr,230000,32
3,1610,1.0,480.0,972.0,1052,1938,1990,2,8,Edwards,124000,34
5,835,1.0,366.0,458.0,835,1920,1950,1,5,Edwards,83000,74
6,1074,1.0,467.0,663.0,1074,1950,1987,1,6,Edwards,144500,37
5,1144,1.0,596.0,1144.0,1144,1956,1956,1,6,Edwards,129000,68
4,1531,1.0,209.0,756.0,1169,1947,1979,1,8,Edwards,127000,45
5,1172,1.0,366.0,1172.0,1172,1954,1998,1,5,Edwards,128000,26
6,1212,2.0,460.0,1212.0,1212,2009,2009,2,6,Edwards,186000,15
7,1508,2.0,572.0,1508.0,1508,2009,2010,1,5,Edwards,308030,14
5,1298,2.0,504.0,1250.0,1298,1964,1964,2,5,Edwards,114000,60
4,930,1.0,308.0,0.0,930,1946,2006,1,6,Edwards,84900,18
6,1732,2.0,476.0,741.0,977,1985,1985,2,7,SawyerW,178000,39
7,1433,2.0,528.0,1433.0,1433,1987,1987,1,4,SawyerW,270000,37
6,1802,4.0,1017.0,946.0,964,1993,1993,2,8,SawyerW,218000,31
7,1949,2.0,574.0,1050.0,1062,1993,1994,2,8,SawyerW,236000,30
6,996,2.0,564.0,936.0,996,1992,1992,1,5,SawyerW,147000,32
8,1694,3.0,776.0,1694.0,1694,2008,2008,2,7,CollgCr,245350,16
7,1208,2.0,632.0,1187.0,1208,2006,2006,2,6,CollgCr,206000,18
7,1226,3.0,740.0,1226.0,1226,2009,2009,2,6,CollgCr,198900,15
7,1222,2.0,615.0,1222.0,1222,2010,2010,2,6,CollgCr,187000,14
7,3222,3.0,594.0,1673.0,1699,1990,1990,3,11,SawyerW,320000,34
6,1445,2.0,484.0,676.0,831,1900,1993,2,6,SawyerW,138500,31
6,1052,2.0,440.0,1010.0,1052,1971,1971,1,6,ClearCr,155000,53
5,965,2.0,580.0,870.0,965,1996,1996,1,4,CollgCr,159000,28
7,1692,2.0,513.0,878.0,892,1997,1998,2,8,CollgCr,191000,26
6,1682,2.0,523.0,804.0,804,1998,1998,2,7,CollgCr,200500,26
5,1026,1.0,308.0,1026.0,1026,1977,2004,1,5,CollgCr,150000,20
6,1392,1.0,299.0,689.0,689,1977,1977,1,6,CollgCr,161750,47
5,894,1.0,308.0,894.0,894,1976,1976,1,5,CollgCr,128200,48
5,876,2.0,484.0,876.0,876,1972,1972,1,5,CollgCr,127000,52
8,1978,3.0,850.0,1978.0,1978,2003,2003,2,8,CollgCr,318000,21
8,1601,2.0,670.0,1581.0,1601,2001,2002,2,6,CollgCr,272000,22
7,1829,2.0,613.0,941.0,941,2003,2003,2,7,CollgCr,237000,21
7,2098,2.0,621.0,1040.0,1044,1997,1997,2,9,CollgCr,240000,27
7,1661,2.0,598.0,1649.0,1661,1998,1998,2,6,CollgCr,224900,26
6,848,2.0,420.0,848.0,848,2003,2003,1,4,CollgCr,143750,21
6,848,2.0,420.0,848.0,848,2004,2004,1,3,CollgCr,143000,20
8,1668,2.0,502.0,1657.0,1668,2003,2003,2,8,CollgCr,232000,21
7,1484,2.0,606.0,1473.0,1484,2004,2005,2,7,CollgCr,213000,19
7,1414,2.0,494.0,1414.0,1414,2004,2004,2,6,CollgCr,185500,20
3,640,1.0,240.0,0.0,640,1945,2007,1,5,Edwards,84900,17
5,992,1.0,319.0,381.0,992,1954,1954,1,6,Edwards,155891,70
5,1664,0.0,0.0,0.0,1664,1965,1965,2,8,Edwards,100000,59
5,1196,1.0,336.0,1196.0,1196,1968,1968,1,6,Edwards,144000,56
4,1120,2.0,480.0,744.0,792,1948,1950,1,5,Edwards,64000,74
6,1096,1.0,352.0,1008.0,1096,1975,1975,1,5,Edwards,125200,49
6,1117,2.0,672.0,1029.0,1117,1976,1976,1,6,Edwards,107000,48
4,960,0.0,0.0,960.0,960,1958,1958,1,5,Edwards,90000,66
4,1121,2.0,440.0,1121.0,1121,2003,2004,2,5,Edwards,140000,20
6,1487,1.0,220.0,735.0,798,1945,1950,1,7,Edwards,113000,74
4,924,1.0,280.0,672.0,672,1941,1950,1,5,Edwards,80000,74
5,1526,1.0,364.0,1216.0,1526,1957,2002,1,7,Edwards,144500,22
5,1296,1.0,260.0,1107.0,1296,1924,1999,2,5,SWISU,104000,25
6,1647,1.0,216.0,806.0,841,1915,1950,1,6,SWISU,128000,74
3,864,1.0,200.0,864.0,864,1914,1950,1,5,Edwards,58500,74
5,1691,1.0,308.0,1026.0,1026,1924,1950,2,6,SWISU,127000,74
6,856,2.0,399.0,856.0,856,1939,1950,1,4,SWISU,126000,74
4,2650,0.0,0.0,0.0,862,1967,1967,3,10,SWISU,160000,57
5,1666,0.0,0.0,894.0,894,1931,1950,1,7,SWISU,100000,74
6,2447,1.0,336.0,804.0,1699,1919,1990,2,10,SWISU,169000,34
7,2133,1.0,312.0,1528.0,1225,1941,1985,1,8,Crawfor,257500,39
5,2177,2.0,484.0,1032.0,1102,1950,1991,2,11,Crawfor,215000,33
7,2340,1.0,252.0,1152.0,1188,1941,2006,2,9,Crawfor,266500,18
7,1902,2.0,567.0,1902.0,1902,1959,2002,2,7,Crawfor,335000,22
7,1652,2.0,473.0,423.0,896,1994,2007,2,6,Crawfor,203135,17
8,1034,2.0,598.0,982.0,1034,1989,1989,1,4,Blueste,185000,35
8,1191,2.0,531.0,1191.0,1191,1989,1989,2,5,Blueste,162500,35
7,1801,2.0,484.0,1501.0,1801,1959,1997,2,6,Crawfor,289000,27
4,1154,1.0,240.0,796.0,796,1922,2007,1,7,IDOTRR,125500,17
2,540,1.0,200.0,480.0,540,1941,1950,1,4,IDOTRR,82000,74
6,1107,1.0,625.0,629.0,727,1921,1975,1,5,IDOTRR,110000,49
4,1128,2.0,528.0,698.0,698,1920,1950,1,6,IDOTRR,68400,74
4,1178,1.0,384.0,859.0,859,1900,1950,1,7,IDOTRR,102776,74
5,1044,2.0,504.0,540.0,1044,1952,1952,1,4,IDOTRR,55993,72
4,952,1.0,330.0,756.0,952,1896,1950,1,5,IDOTRR,50138,74
8,1646,2.0,525.0,1594.0,1646,2004,2005,2,5,Crawfor,246000,19
8,1916,3.0,741.0,1049.0,1036,1998,1999,2,8,Mitchel,254900,25
6,1285,2.0,473.0,1243.0,1285,1977,1977,2,6,Mitchel,190000,47
7,1560,2.0,573.0,1560.0,1560,2003,2003,2,7,Mitchel,201000,21
6,1034,3.0,888.0,1012.0,1034,1976,1976,1,6,Mitchel,169900,48
6,2048,2.0,776.0,1958.0,2048,1976,1976,3,9,Mitchel,170000,48
5,1687,2.0,572.0,747.0,1687,1948,1950,1,7,Timber,160000,74
7,1346,3.0,660.0,1336.0,1346,2008,2008,2,6,Timber,220000,16
7,1214,2.0,520.0,1214.0,1214,2009,2010,2,6,Timber,179781,14
5,1444,2.0,400.0,384.0,744,2006,2007,2,7,Timber,174000,17
8,1968,3.0,680.0,774.0,774,2009,2010,2,8,Timber,269500,14
7,1894,2.0,510.0,817.0,824,2002,2003,2,8,Timber,214900,21
8,1908,2.0,431.0,967.0,993,2002,2002,2,9,Timber,202900,22
9,2018,3.0,746.0,2002.0,2018,2008,2009,2,10,Timber,378500,15
5,1264,2.0,528.0,1068.0,1264,1965,1977,1,7,Mitchel,169000,47
5,1430,2.0,624.0,1430.0,1430,2004,2005,2,7,Mitchel,173500,19
6,1824,0.0,0.0,912.0,912,1971,1971,2,8,Mitchel,139000,53
5,1344,2.0,686.0,1344.0,1344,1999,1999,2,7,Mitchel,166500,25
4,1092,1.0,286.0,546.0,546,1973,1973,1,6,MeadowV,83500,51
5,945,1.0,253.0,945.0,945,1973,1973,1,5,MeadowV,119500,51
5,1112,1.0,336.0,536.0,536,1976,1976,1,4,MeadowV,85000,48
4,1092,0.0,0.0,546.0,546,1970,1970,1,5,MeadowV,76000,54
4,630,0.0,0.0,630.0,630,1972,1972,1,3,MeadowV,75500,52
4,1092,0.0,0.0,546.0,546,1970,1970,1,5,MeadowV,88250,54
4,1092,1.0,286.0,546.0,546,1972,1972,1,5,MeadowV,85500,52
5,874,1.0,352.0,864.0,874,1971,2004,1,5,Mitchel,130000,20
5,1188,1.0,312.0,1188.0,1188,1962,1962,1,6,Mitchel,157900,62
5,833,2.0,495.0,833.0,833,1984,1984,1,5,Mitchel,149900,40
5,2432,2.0,616.0,1216.0,1216,1985,1986,4,10,Mitchel,159000,38
5,1274,2.0,576.0,624.0,624,1991,1991,1,6,Mitchel,136000,33
5,1479,1.0,275.0,864.0,864,1969,1969,2,8,Mitchel,161000,55
8,1803,2.0,482.0,1679.0,1803,1994,1995,2,6,Mitchel,285000,29
6,1797,2.0,616.0,1152.0,1152,1993,1994,2,7,Mitchel,231000,30
